term_str,n,n_chars,p,i,n_pos,max_pos,stop,stem_porter,stem_snowball,stem_lancaster,p2,h,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust,sentiment
haven,201,5,0.00018166174402504582,12.426457743776691,3,NN,1,haven,haven,hav,0.0068894601542416455,0.0022574119857880098,0,0,0,0,0,0,1,0,0,1,1
snake,198,5,0.00017895037471123916,12.44815281487601,2,NN,0,snake,snake,snak,0.006786632390745501,0.0022276016106848287,0,0,1,1,0,1,0,0,0,0,-1
vanished,193,8,0.00017443142585489473,12.48505239768754,2,NNS,0,vanish,vanish,van,0.006615252784918595,0.0021777854916017097,0,0,0,1,0,1,0,1,1,0,-1
happy,192,5,0.00017352763608362586,12.492546934234463,2,JJ,0,happi,happi,happy,0.006580976863753214,0.0021678021381614536,0,1,0,0,1,0,1,0,0,1,1
true,190,4,0.0001717200565410881,12.507653826624672,2,JJ,0,true,true,tru,0.006512425021422451,0.0021478150223043454,0,0,0,0,1,0,1,0,0,1,1
angry,185,5,0.00016720110768474368,12.546127974439308,1,JJ,0,angri,angri,angry,0.006341045415595544,0.0020977264944808016,1,0,1,0,0,1,0,0,0,0,-1
flying,184,6,0.00016629731791347477,12.553947478898607,3,VBG,0,fli,fli,fly,0.006306769494430163,0.002087687794967467,0,0,0,1,0,0,1,0,0,0,1
friend,183,6,0.0001653935281422059,12.561809596671576,1,NN,0,friend,friend,friend,0.006272493573264782,0.0020776420090441324,0,0,0,0,1,0,1,0,0,1,1
mum,182,3,0.00016448973837093701,12.569714794756923,2,NN,0,mum,mum,mum,0.0062382176520994,0.0020675890979868624,0,0,0,1,0,1,0,0,0,0,-1
smiling,179,7,0.00016177836905713035,12.593693657691363,1,VBG,0,smile,smile,smil,0.006135389888603256,0.002037387220346435,0,0,0,0,1,0,1,0,0,0,1
broke,177,5,0.0001599707895145926,12.609903884872622,2,NN,0,broke,broke,brok,0.006066838046272493,0.0020172162801662015,0,0,0,1,0,1,0,1,0,0,-1
broken,177,6,0.0001599707895145926,12.609903884872622,2,NN,0,broken,broken,brok,0.006066838046272493,0.0020172162801662015,1,0,0,1,0,1,0,1,0,0,-1
forced,167,6,0.00015093289180190375,12.693805142481567,1,VBN,0,forc,forc,forc,0.00572407883461868,0.0019159127181246197,0,0,0,1,0,1,0,0,0,0,-1
prophet,166,7,0.00015002910203063485,12.702470003608695,1,NN,0,prophet,prophet,prophet,0.005689802913453299,0.0019057401682124875,0,1,0,0,0,0,1,0,0,1,1
young,164,5,0.0001482215224880971,12.719957430337535,2,JJ,0,young,young,young,0.0056212510711225365,0.0018853714563084125,0,1,0,0,1,0,1,0,1,0,1
lesson,164,6,0.0001482215224880971,12.719957430337535,2,NN,0,lesson,lesson,lesson,0.0056212510711225365,0.0018853714563084125,0,1,0,0,0,0,1,0,0,1,1
dangerous,164,9,0.0001482215224880971,12.719957430337535,4,JJ,0,danger,danger,dang,0.0056212510711225365,0.0018853714563084125,0,0,0,1,0,1,0,0,0,0,-1
horrible,163,8,0.0001473177327168282,12.728781280724542,2,JJ,0,horribl,horribl,horr,0.005586975149957155,0.0018751751985247444,1,0,1,1,0,1,0,0,0,0,-1
shot,162,4,0.00014641394294555933,12.737659432070995,1,NN,0,shot,shot,shot,0.005552699228791774,0.0018649709413472084,1,0,0,1,0,1,0,1,1,0,-1
hurt,161,4,0.00014551015317429043,12.746592556841003,1,NN,0,hurt,hurt,hurt,0.005518423307626393,0.0018547586353962046,1,0,0,1,0,1,0,1,0,0,-1
laugh,160,5,0.00014460636340302155,12.755581340068257,2,NN,0,laugh,laugh,laugh,0.005484147386461011,0.001844538230678711,0,0,0,0,1,0,1,0,1,0,1
important,158,9,0.0001427987838604838,12.773728686778517,3,JJ,0,import,import,import,0.005415595544130248,0.0018240729218357468,0,0,0,0,0,0,1,0,0,1,1
defense,158,7,0.0001427987838604838,12.773728686778517,2,NN,0,defens,defens,defens,0.005415595544130248,0.0018240729218357468,1,1,0,1,0,0,1,0,0,0,1
quiet,157,5,0.00014189499408921488,12.782888686063993,2,JJ,0,quiet,quiet,quiet,0.005381319622964867,0.0018138279145521422,0,0,0,0,0,0,1,1,0,0,1
late,156,4,0.000140991204317946,12.79210721609337,1,RB,0,late,late,lat,0.005347043701799486,0.0018035746021612918,0,0,0,0,0,1,0,1,0,0,-1
teacher,155,7,0.00014008741454667713,12.801385029681382,1,NN,0,teacher,teacher,teach,0.005312767780634105,0.0017933129314246024,0,0,0,0,0,0,1,0,0,1,1
worse,154,5,0.00013918362477540825,12.810722894260717,1,JJR,0,wors,wors,wors,0.005278491859468723,0.0017830428484165155,0,0,0,1,0,1,0,1,0,0,-1
expect,151,6,0.00013647225546160158,12.83910469563054,2,VB,0,expect,expect,expect,0.00517566409597258,0.0017521815759203396,0,1,0,0,0,0,1,0,1,1,1
goblin,149,6,0.00013466467591906383,12.858340914493457,3,NN,0,goblin,goblin,goblin,0.005107112253641816,0.0017315643121071003,0,0,1,1,0,1,0,0,0,0,-1
pleased,147,7,0.00013285709637652604,12.877837090119256,2,JJ,0,pleas,pleas,pleas,0.005038560411311054,0.0017109120434031756,0,0,0,0,1,0,1,0,0,0,1
tree,145,4,0.00013104951683398828,12.897600344940685,1,NN,0,tree,tree,tre,0.004970008568980291,0.0016902242935223574,1,1,1,0,1,0,1,0,1,1,1
truth,145,5,0.00013104951683398828,12.897600344940685,1,NN,0,truth,truth,tru,0.004970008568980291,0.0016902242935223574,0,0,0,0,0,0,1,0,0,1,1
fat,144,3,0.0001301457270627194,12.907584433513307,1,NN,0,fat,fat,fat,0.00493573264781491,0.0016798669607230286,0,0,1,0,0,1,0,1,0,0,-1
fear,144,4,0.0001301457270627194,12.907584433513307,1,NN,0,fear,fear,fear,0.00493573264781491,0.0016798669607230286,1,0,0,1,0,1,0,0,0,0,-1
laughing,144,8,0.0001301457270627194,12.907584433513307,2,VBG,0,laugh,laugh,laugh,0.00493573264781491,0.0016798669607230286,0,0,0,0,1,0,1,0,0,0,1
laughter,143,8,0.0001292419372914505,12.91763809817723,2,NN,0,laughter,laughter,laught,0.004901456726649529,0.0016695005730382735,0,1,0,0,1,0,1,0,1,0,1
fight,141,5,0.00012743435774891274,12.937958082556825,1,NN,0,fight,fight,fight,0.0048329048843187665,0.0016487403788329835,1,0,0,1,0,1,0,0,0,0,-1
alive,138,5,0.00012472298843510608,12.96898497817745,2,JJ,0,aliv,aliv,al,0.004730077120822622,0.0016175305634482907,0,1,0,0,1,0,1,0,0,1,1
brother,137,7,0.0001238191986638372,12.979477351995092,3,NN,0,brother,brother,broth,0.004695801199657241,0.001607108484799456,0,0,0,0,0,0,1,0,0,1,1
surprise,135,8,0.00012201161912129943,13.00069383790479,1,NN,0,surpris,surpris,surpr,0.004627249357326478,0.0015862357048630636,0,0,0,1,1,0,1,0,1,0,1
terrible,135,8,0.00012201161912129943,13.00069383790479,2,JJ,0,terribl,terribl,terr,0.004627249357326478,0.0015862357048630636,1,0,1,1,0,1,0,1,0,0,-1
hospital,135,8,0.00012201161912129943,13.00069383790479,1,NN,0,hospit,hospit,hospit,0.004627249357326478,0.0015862357048630636,0,0,0,1,0,0,0,1,0,1,0
worry,135,5,0.00012201161912129943,13.00069383790479,1,NN,0,worri,worri,worry,0.004627249357326478,0.0015862357048630636,0,1,0,1,0,1,0,1,0,0,-1
safe,134,4,0.00012110782935003055,13.011420244497847,2,JJ,0,safe,safe,saf,0.004592973436161097,0.001575784862572178,0,0,0,0,1,0,1,0,0,1,1
worried,130,7,0.00011749267026495501,13.055141621927165,1,JJ,0,worri,worri,worry,0.004455869751499571,0.0015338834498473783,0,0,0,0,0,1,0,1,0,0,-1
