term_str,PC0,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9
wouldnt,0.09732259630299868,-0.0204443424834272,0.0016921536526091662,-0.011236231630970742,-0.046631907045222985,0.02646087408849108,0.0031278840615898873,0.009754313010250223,0.0022455710306218592,-0.0016986810778575104
krum,-0.0411562356830209,-0.005979433086647364,-0.17337179295044342,-0.0005618693822365694,0.04530955719948837,0.007541163179358432,0.0064497113503770975,0.01535280549443102,0.0030784712489332717,0.00738659508509773
myrtle,0.05269932478248391,-0.00926378520291949,-0.04613921849896429,-0.020392577346297826,-0.10777336990478352,0.10911409145438891,0.001085899307706964,-0.0015569834691368056,-0.003382593053180662,0.0006160145693421028
karkaroff,-0.05468487131764253,-0.010527800972085995,-0.19735427720543894,-0.0009283360374675357,0.021225560484625886,-0.005929128375363441,0.009271259067363402,0.009105831988724552,0.008523738209605928,0.0067760443772848
sa,-0.02804969560196175,0.10715323673182484,0.02498006179481269,-0.010860180433292562,-0.02449361509538837,-0.00856326471943734,0.0011649797437234522,0.0239650678485763,-0.005519682514141975,0.01129050269095562
hadnt,0.09507098040453751,-0.023636109315505246,-0.0029307841422026703,-0.016366545430876074,-0.08713992864614682,0.06047605378430188,0.0013842421580488556,0.01688928894818214,0.002718704882204819,0.004592745482189317
youd,0.09034954225133633,-0.018069244671711688,0.0024266174883201654,-0.010412101518643694,-0.03527066659799951,0.03163788806525664,-0.0010083052991005255,0.00920780072021843,0.003785848785457533,0.0014626868252580918
isnt,0.08516610476875401,-0.011058764043063482,0.009757074590225966,-0.0010386778787387588,0.03452424248487782,-0.02649803189478399,0.0026129120195590673,0.003900109544859706,-0.0006084952971659261,-0.0009661237263165763
hed,0.0827353124760687,-0.013870531038092099,-0.000753795735199094,-0.013634869177566263,-0.07346440658222847,0.04410326722917315,-0.0007743138530735079,0.004314297684908255,-0.00044264844711369776,0.004373279175793209
fleur,-0.005257653277721389,0.02686854637995373,-0.06370474206790812,-0.00030070680846169747,0.07793323405837027,0.036384373670176745,-0.006938362806310912,0.012951550961686346,0.007277470179979472,0.0037277484084584293
doesnt,0.08520693717507233,-0.014514877619354397,0.006023407355367666,-0.003418524449914592,9.997679660983641e-05,-0.025925102695481324,-0.007330483419276393,-0.0019000603850910284,-0.0008427593814265082,-0.004205056378332451
scrimgeour,0.013451365827914535,0.06685144153146953,0.023189687249982733,-0.0006360339679894007,0.0765144467471167,0.04409358211338488,0.011695593529151161,-0.009853109615004045,-0.0028415975023459474,-0.006269395370597746
greyback,0.03466031090462971,0.04412329327439204,0.025304885792083544,0.00044966335234247426,0.13811340560617216,0.07763374351717081,0.01785934943288823,-0.01824577347919662,0.0034537807615246108,0.0017531849106966093
